disease_name,ayurvedic_remedy
adhesive capsulitis of the shoulder,Nadi Swedana (steam) and massage with Mahanarayan Oil. Gentle stretching.
adjustment reaction,Sattvic diet. Medhya Rasayanas like Brahmi and Shankhapushpi.
adrenal adenoma,Consult Endocrinologist. Ayurveda supports hormonal balance with Shatavari and Ashwagandha.
adrenal cancer,Specialized Oncology care. Ayurveda supports immunity with Guduchi and Tulsi.
alcohol abuse,Punarnavarishta for liver. Yoga and meditation for mental strength. Drakshasava.
alcohol intoxication,Drink lemon water with ginger. Consume light Moong Dal soup.
alcohol withdrawal,Ashwagandha for tremors. Heavy fluid intake. Professional medical supervision recommended.
alcoholic liver disease,Arogyavardhini Vati and Bhumyamalaki. Strict avoidance of alcohol.
allergy,Turmeric (Haridra) with milk. Avoid known triggers.
allergy to animals,Neti (nasal rinse). Take Tulsi and Ginger tea regularly.
alopecia,Massage with Bhringraj oil. Use Nasya with Anu Taila. Take Amla internally.
alzheimer disease,"Medhya Rasayanas: Brahmi, Shankhapushpi, and Vacha. Ghee-based diet."
amblyopia,Eye exercises (Trataka). Triphala Ghrita internally.
amyloidosis,Management of primary cause. Punarnava for kidney support.
amyotrophic lateral sclerosis (als),Vata-pacifying therapies: Basti (enema) and Pindasweda (massage).
anal fissure,Apply Jatyadi oil. Take Triphala Churna to keep stools soft.
anal fistula,Kshara Sutra therapy (Ayurvedic surgery) is recommended. Avoid spicy food.
anemia,Lohasava and Punarnava Mandur. Include Pomegranate and Dates in diet.
anemia due to chronic kidney disease,Punarnava and iron-rich foods under medical supervision.
anemia due to malignancy,Immune support with Guduchi. Iron support with Mandur Bhasma.
anemia of chronic disease,Identify the root cause. Support with Amalaki and Iron-rich diet.
angina,Arjuna bark decoction (Arjunarishta). Stress management through Yoga.
ankylosing spondylitis,Vata-pacifying diet. Basti therapy. Use Rasnasaptak Kwath.
anxiety,"Ashwagandha, Jatamansi, and regular Shirodhara treatment."
aortic valve disease,Arjuna bark. Maintain low sodium diet. Regular cardiac monitoring.
aphakia,Consult ophthalmologist. Ayurveda supports general eye health with Triphala.
aphthous ulcer,Gargle with Triphala or apply Honey and Turmeric. Avoid spicy food.
aplastic anemia,Specialized care required. Support with Rasayana herbs like Guduchi.
appendicitis,Emergency Surgery. Post-op: Light diet and Dashamula tea.
arrhythmia,Arjunarishta. Pranayama (Anulom Vilom). Avoid stimulants like caffeine.
arthritis of the hip,Basti (herbal enema) and Abhyanga with Mahanarayan Oil.
ascending cholangitis,Medical Emergency. Post-recovery: Liver support with Katuki.
asperger syndrome,Supportive therapy. Medhya Rasayanas like Brahmi for focus.
aspergillosis,Immune support with Tulsi and Guduchi. Anti-fungal herbs like Neem.
asthma,Vasa (Adhatoda vasica) and Sitopaladi Churna. Avoid cold food.
astigmatism,Trataka (candle gazing) and Triphala Ghrita.
atelectasis,Breathing exercises (Pranayama). Lung toning with Pippali.
athlete's foot,Apply Neem oil and Turmeric powder. Keep feet dry.
atonic bladder,Gokshuradi Guggulu and Chandraprabha Vati.
atrial fibrillation,Arjuna and Ashwagandha. Stress reduction via Meditation.
atrial flutter,Maintain electrolyte balance. Arjuna bark tea.
atrophic skin condition,Abhyanga with Sesame oil or Eladi Taila.
atrophic vaginitis,Local application of Shatavari Ghrita or Coconut oil.
atrophy of the corpus cavernosum,Vajikarana therapy with Ashwagandha and Kapikacchu.
attention deficit hyperactivity disorder (adhd),"Brahmi, Shankhapushpi, and a preservative-free Sattvic diet."
autism,Speech therapy and Medhya Rasayanas for cognitive support.
autonomic nervous system disorder,Regular Routine (Dinacharya) and Ashwagandha.
avascular necrosis,Guggulu preparations and Tikta Ksheera Basti (bitter milk enema).
balanitis,Wash with Triphala water. Apply Neem oil.
bell palsy,Facial massage with Mahanarayan Oil. Nasya with Anu Taila.
benign kidney cyst,Varunadi Vati and Punarnava. Regular ultrasound monitoring.
benign paroxysmal positional vertical (bppv),Vata balancing herbs. Specific Yoga balance poses.
benign prostatic hyperplasia (bph),Varunadi Vati and Chandraprabha Vati. Kanchanar Guggulu.
benign vaginal discharge (leukorrhea),Lodhrasava and Pushyanuga Churna. Maintain hygiene.
bipolar disorder,Panchakarma (Snehana/Swedana). Herbs: Jatamansi and Saraswatarishta.
birth trauma,Gentle Ayurvedic baby massage (Bala Abhyanga) with Dhanwantaram oil.
bladder cancer,Specialized Oncology. Support with Punarnava and Varuna.
bladder disorder,Chandraprabha Vati and Gokshuradi Guggulu.
bladder obstruction,Varunadi Kwath. Seek medical clearance for physical blockages.
blepharitis,Triphala eye wash. Avoid eye strain.
blepharospasm,Vata balancing. Nasya with warm Sesame oil.
bone cancer,Comprehensive oncology care. Bone strengthening with Mukta Shukti.
bone disorder,"Lakshadi Guggulu and calcium-rich diet (Milk, Sesame)."
bone spur of the calcaneous,Local application of Pinda Taila. Footwear modification.
brachial neuritis,Rasnapanchak Kwath and local Basti (Griva Basti).
brain cancer,Oncology care. Cognitive support with Brahmi.
breast cancer,Oncology care. Immune support with Kanchanar Guggulu.
breast cyst,"Kanchanar Guggulu. Avoid heavy, fatty foods."
breast infection (mastitis),Apply Lepa of Turmeric. Internal use of Neem and Guduchi.
broken tooth,Consult Dentist. Gargle with Irimedadi Taila.
bunion,Local application of Pinda Taila. Proper footwear.
burn,Apply Aloe Vera gel or Shatadhauta Ghrita (100 times washed ghee).
bursitis,Apply Lepa of Dashamula. Avoid repetitive strain.
callus,Soak in warm water. Apply Castor oil.
carbon monoxide poisoning,Emergency. Oxygen therapy. No home remedy.
carcinoid syndrome,Symptomatic management. Consult Oncology.
cardiac arrest,Emergency CPR/Defibrillation. Immediate Hospitalization.
cardiomyopathy,Arjuna bark and Hridayarnava Rasa (under supervision).
carpal tunnel syndrome,Wrist support. Local application of Mahanarayan Oil.
cat scratch disease,Neem and Turmeric for the wound. Internal Guduchi.
cataract,Triphala Ghrita and Netra Tarpana (eye bath with ghee).
celiac disease,Strict Gluten-free diet. Support digestion with Takra (Buttermilk).
cellulitis or abscess of mouth,Triphala gargles. Apply Turmeric-Honey paste.
central atherosclerosis,"Arjuna, Guggulu, and Lashuna (Garlic). Low fat diet."
central retinal artery or vein occlusion,Emergency ophthalmology. Ayurvedic eye support.
cerebral edema,Emergency care. Punarnava for fluid management (clinical).
cerebral palsy,Physiotherapy and Vata-balancing massages (Abhyanga).
cervical cancer,Oncology care. Kanchanar Guggulu for support.
cervical disorder,Griva Basti (oil pool on neck). Yograj Guggulu.
cervicitis,Local douche with Triphala water. Take Pushyanuga Churna.
chalazion,Warm compresses. Triphala internal for detox.
chickenpox,Neem leaf water baths. Apply Aloe Vera to scabs.
chlamydia,Antibiotics essential. Ayurvedic support: Chandraprabha Vati.
cholecystitis,"Avipattikar Churna. Avoid fatty, fried foods."
choledocholithiasis,Consult Surgeon. Support with Gokshuradi Guggulu.
cholesteatoma,Surgical intervention. Ayurvedic ear hygiene.
chondromalacia of the patella,Janu Basti. Use Shallaki (Boswellia).
chorioretinitis,Ophthalmology care. Saptamrit Lauha for eye health.
chronic back pain,Kati Basti. Daily Yoga (Bhujangasana).
chronic constipation,Triphala Churna with warm water at bedtime.
chronic glaucoma,Regular eye drops. Saptamrit Lauha and Triphala.
chronic inflammatory demyelinating polyneuropathy (cidp),Vata balancing treatments and Ashwagandha.
chronic kidney disease,"Punarnava, Gokshura, and strict diet control."
chronic knee pain,Massage with Janu Basti using Dhanwantaram Oil.
chronic otitis media,Karna Purana (ear oiling) with specialized oils.
chronic pain disorder,"Yoga, Meditation, and Ashwagandha. Dashamula tea."
chronic pancreatitis,Very light diet. Avoid alcohol. Use Trikatu for digestion.
chronic rheumatic fever,Amrutarishta and Guggulu preparations.
chronic sinusitis,Nasya with Anu Taila. Avoid curd and cold drinks.
chronic ulcer,Wound wash with Triphala. Apply Jatyadi Ghrita.
cirrhosis,Arogyavardhini Vati and Bhumyamalaki. No alcohol.
coagulation (bleeding) disorder,Identify cause. Use Rakta-pitta balancing herbs like Durva.
cold sore,Apply Honey or Turmeric-Neem paste.
colonic polyp,High fiber diet. Triphala for regular evacuation.
colorectal cancer,Specialized Oncology. High fiber and antioxidants.
common cold,"Ginger, Tulsi, and Black Pepper tea (Trikatu)."
complex regional pain syndrome,Vata-balancing therapies and Ashwagandha.
concussion,Complete rest. Brahmi for neurological recovery.
conduct disorder,Counseling and Medhya Rasayanas (Brahmi).
conductive hearing loss,Identify physical block. Sarivadi Vati.
congenital heart defect,Surgical evaluation. Supportive care with Arjuna.
congenital malformation syndrome,Supportive therapy and Rasayana herbs.
conjunctivitis,Triphala eye wash. Avoid rubbing eyes.
conjunctivitis due to allergy,Rose water drops. Avoid allergens.
conjunctivitis due to bacteria,Wash with Neem water. Consult doctor.
conjunctivitis due to virus,Self-limiting. Use Triphala eye wash.
connective tissue disorder,Guduchi and Guggulu to modulate immunity.
contact dermatitis,Apply Coconut oil and Neem. Identify allergen.
conversion disorder,Psychological support and calming herbs like Jatamansi.
cornea infection,Emergency Ophthalmology. Triphala eye wash.
corneal abrasion,Protect eye. Use sterile Castor oil drops (medical grade).
corneal disorder,Saptamrit Lauha and regular eye checkups.
coronary atherosclerosis,Arjuna and Guggulu. Low cholesterol diet.
cranial nerve palsy,Nasya and specialized Vata-balancing massages.
crohn disease,Bilva (Bael fruit) and Takra (Buttermilk) diet.
croup,Warm steam. Sitopaladi Churna.
crushing injury,Immediate Hospital. Post-op: Murivenna oil.
cryptococcosis,Antifungals. Immune support with Guduchi.
cryptorchidism,Surgical consultation. Ashwagandha for support.
cushing syndrome,Manage cortisol levels. Herbs like Tulsi and Ashwagandha.
cyst of the eyelid,Warm compress. Internal Triphala for detox.
cystic fibrosis,Specialized care. Respiratory support with Vasa.
cysticercosis,Anti-parasitic treatment. Ayurvedic detox (Virechana).
cystitis,Chandraprabha Vati and Gokshuradi Guggulu.
oral mucosal lesion,Use Triphala or Turmeric gargles and apply Turmeric-Honey paste to the sore
interstitial lung disease,Use Ginger and Tulsi tea
